product_id,name,category,brand,unit_price,unit_cost
1001,Lenovo Fast Charger,Accessories,Lenovo,26.02,21.87
1002,Apple Laptop Backpack,Accessories,Apple,102.07,84.74
1003,Sony Wi‑Fi Router,Networking,Sony,440.65,351.17
1004,Samsung Z9,Smartphones,Samsung,826.29,589.12
1005,HP S24,Smartphones,HP,558.7,441.36
1006,Lenovo Wi‑Fi Router,Networking,Lenovo,313.67,264.95
1007,HP A2 Pro,Smartphones,HP,688.08,489.82
1008,HP Soundbar,Audio,HP,187.12,161.62
1009,Logitech Network Switch,Networking,Logitech,115.69,90.4
1010,"Samsung MacBook 15"" Slim",Laptops,Samsung,2079.61,1465.05
1011,ASUS Wi‑Fi Router,Networking,ASUS,280.23,244.09
1013,Xiaomi Portable Speaker,Audio,Xiaomi,547.29,396.22
1014,Samsung S12 Pro,Smartphones,Samsung,851.92,711.42
1015,Logitech USB-C Hub,Accessories,Logitech,150.49,118.01
1016,Xiaomi Mesh Kit,Networking,Xiaomi,112.06,88.34
1017,HP A3 Pro,Smartphones,HP,678.24,533.05
1018,Logitech Wi‑Fi Router,Networking,Logitech,180.5,153.57
1019,ASUS Noise‑Cancel Headphones,Audio,ASUS,465.82,352.4
1020,Sony Mechanical Keyboard,Accessories,Sony,130.25,97.65
1021,"HP IdeaPad 16"" Slim",Laptops,HP,1242.48,948.68
1022,Lenovo Portable Speaker,Audio,Lenovo,401.29,307.65
1023,Xiaomi Network Switch,Networking,Xiaomi,220.11,182.58
1024,Sony Soundbar,Audio,Sony,259.54,224.02
1027,Lenovo A2 Lite,Smartphones,Lenovo,979.54,777.88
1028,HP X7 Lite,Smartphones,HP,727.12,509.17
1029,Xiaomi Fast Charger,Accessories,Xiaomi,29.38,24.32
1030,Logitech Range Extender,Networking,Logitech,247.85,204.55
1031,Xiaomi M20 Lite,Smartphones,Xiaomi,1348.79,1109.95
1032,Apple Noise‑Cancel Headphones,Audio,Apple,50.81,38.39
1033,Apple Portable Speaker,Audio,Apple,363.7,269.98
1034,"Xiaomi ZenBook 14""",Laptops,Xiaomi,2138.7,1860.9
1035,HP Noise‑Cancel Headphones,Audio,HP,512.07,401.98
1036,Logitech Portable Speaker,Audio,Logitech,508.06,367.63
1037,ASUS Mesh Kit,Networking,ASUS,156.21,122.37
1038,Xiaomi Wireless Mouse,Accessories,Xiaomi,165.79,130.55
1039,HP Network Switch,Networking,HP,83.17,63.36
1040,Xiaomi Wi‑Fi Router,Networking,Xiaomi,162.88,122.82
1041,Lenovo Range Extender,Networking,Lenovo,95.34,73.86
1042,Lenovo S12 Lite,Smartphones,Lenovo,1165.85,925.72
1043,Lenovo Laptop Backpack,Accessories,Lenovo,106.73,89.66
